Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Skylanders Imaginators| https://www.vgchartz.com/game/153116/skylanders-imaginators/| 2017| Platform| Activision| 0.10| 0.10| 0.00| 0.02| 0.23| Nintendo Switch
Fate/Extella: The Umbral Star| https://www.vgchartz.com/game/169961/fateextella-the-umbral-star/| 2017| Action| Xseed Games| 0.10| 0.06| 0.04| 0.02| 0.21| Nintendo Switch
Axiom Verge| https://www.vgchartz.com/game/190934/axiom-verge/| 2017| Action| Thomas Happ Games| 0.12| 0.03| 0.00| 0.02| 0.17| Nintendo Switch
Cave Story+| https://www.vgchartz.com/game/166962/cave-story/| 2017| Platform| Nicalis| 0.11| 0.03| 0.01| 0.01| 0.15| Nintendo Switch
Rime| https://www.vgchartz.com/game/161517/rime/| 2017| Adventure| Grey Box| 0.11| 0.03| 0.00| 0.01| 0.15| Nintendo Switch
Gear Club Unlimited| https://www.vgchartz.com/game/206656/gearclub-unlimited/| 2017| Racing| Funbox Media| 0.10| 0.03| 0.01| 0.01| 0.15| Nintendo Switch
Has-Been Heroes| https://www.vgchartz.com/game/153118/has-been-heroes/| 2017| Action| GameTrust| 0.13| 0.00| 0.00| 0.02| 0.14| Nintendo Switch
Farming Simulator 17| https://www.vgchartz.com/game/208593/farming-simulator-17/| 2017| Simulation| Focus Home Interactive| 0.04| 0.08| 0.00| 0.01| 0.13| Nintendo Switch
Batman: A Telltale Game Series| https://www.vgchartz.com/game/203194/batman-a-telltale-game-series/| 2017| Adventure| Telltale Games| 0.09| 0.02| 0.00| 0.01| 0.12| Nintendo Switch
Snipperclips: Cut It Out, Together!| https://www.vgchartz.com/game/162763/snipperclips-plus-cut-it-out-together/| 2017| Puzzle| Nintendo| 0.00| 0.02| 0.10| 0.00| 0.12| Nintendo Switch
Party Planet| https://www.vgchartz.com/game/206657/party-planet/| 2017| Misc| Mastiff| 0.10| 0.00| 0.00| 0.01| 0.12| Nintendo Switch
Wolfenstein II: The New Colossus| https://www.vgchartz.com/game/203408/wolfenstein-ii-the-new-colossus/| 2018| Shooter| Bethesda Softworks| 0.05| 0.05| 0.00| 0.01| 0.11| Nintendo Switch
