Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Mortal Kombat| https://www.vgchartz.com/game/70436/mortal-kombat-2011/| N/A| Fighting| | 1.64| 0.31| 0.00| 0.17| 2.12| Xbox 360
NBA 2K11| https://www.vgchartz.com/game/45345/nba-2k11/| 2010| Sports| 2K Sports| 1.86| 0.12| 0.01| 0.13| 2.11| Xbox 360
Madden NFL 15| https://www.vgchartz.com/game/81574/madden-nfl-15/| 2014| Sports| EA Sports| 1.80| 0.06| 0.00| 0.22| 2.09| Xbox 360
Dead Rising| https://www.vgchartz.com/game/483/dead-rising/| 2006| Action| Capcom| 1.16| 0.65| 0.08| 0.20| 2.09| Xbox 360
Portal 2| https://www.vgchartz.com/game/43866/portal-2/| 2011| Shooter| Valve| 1.41| 0.49| 0.01| 0.17| 2.08| Xbox 360
UFC 2009 Undisputed| https://www.vgchartz.com/game/24582/ufc-2009-undisputed/| 2009| Fighting| THQ| 1.48| 0.39| 0.00| 0.19| 2.07| Xbox 360
Call of Duty 2| https://www.vgchartz.com/game/298/call-of-duty-2/| 2005| Shooter| Activision| 1.84| 0.04| 0.01| 0.16| 2.06| Xbox 360
Tom Clancy's Splinter Cell: Conviction| https://www.vgchartz.com/game/14176/tom-clancys-splinter-cell-conviction/| 2010| Action| Ubisoft| 1.20| 0.62| 0.04| 0.19| 2.06| Xbox 360
Need for Speed: ProStreet| https://www.vgchartz.com/game/12756/need-for-speed-prostreet/| 2007| Racing| Electronic Arts| 1.04| 0.79| 0.01| 0.21| 2.05| Xbox 360
Project Gotham Racing 4| https://www.vgchartz.com/game/7649/pgr4-project-gotham-racing-4/| 2007| Racing| Microsoft Game Studios| 0.48| 1.28| 0.02| 0.25| 2.04| Xbox 360
Dance Central 2| https://www.vgchartz.com/game/51391/dance-central-2/| 2011| Music| Microsoft| 1.45| 0.41| 0.01| 0.16| 2.04| Xbox 360
Just Dance 3| https://www.vgchartz.com/game/51777/just-dance-3/| 2011| Misc| Ubisoft| 1.47| 0.39| 0.00| 0.16| 2.02| Xbox 360
Call of Duty: Black Ops 3| https://www.vgchartz.com/game/85732/call-of-duty-black-ops-3/| 2015| Shooter| Activision| 1.36| 0.47| 0.00| 0.19| 2.01| Xbox 360
Mortal Kombat vs DC Universe| https://www.vgchartz.com/game/24576/mortal-kombat-vs-dc-universe/| 2008| Fighting| Midway Games| 1.58| 0.23| 0.00| 0.18| 1.99| Xbox 360
BioShock Infinite| https://www.vgchartz.com/game/46737/bioshock-infinite/| 2013| Shooter| 2K Games| 1.22| 0.55| 0.02| 0.18| 1.97| Xbox 360
Resident Evil 6| https://www.vgchartz.com/game/47360/resident-evil-6/| 2012| Action| Capcom| 1.12| 0.61| 0.07| 0.16| 1.97| Xbox 360
Tom Clancy Rainbow Six: Vegas| https://www.vgchartz.com/game/2464/tom-clancys-rainbow-six-vegas/| 2006| Shooter| Ubisoft| 1.09| 0.65| 0.02| 0.20| 1.95| Xbox 360
Forza: Horizon| https://www.vgchartz.com/game/70780/forza-horizon/| 2012| Racing| Microsoft Studios| 0.82| 0.94| 0.04| 0.16| 1.94| Xbox 360
Destiny| https://www.vgchartz.com/game/71151/destiny/| 2014| Misc| Activision| 1.32| 0.44| 0.00| 0.19| 1.94| Xbox 360
FIFA 09| https://www.vgchartz.com/game/25804/fifa-soccer-09/| 2008| Sports| Electronic Arts| 0.49| 1.26| 0.01| 0.18| 1.94| Xbox 360
